"X","ENSP","chr","genome_start","genome_end","genome_strand"
1,"ENSP00000356746","1",169888676,169888840,"-"
2,"ENSP00000356746","1",169878634,169878819,"-"
3,"ENSP00000356746","1",169875978,169876091,"-"
4,"ENSP00000356746","1",169873696,169873752,"-"
5,"ENSP00000356746","1",169870255,169870357,"-"
6,"ENSP00000356746","1",169868928,169869039,"-"
7,"ENSP00000356746","1",169866896,169866973,"-"
8,"ENSP00000356746","1",169864369,169864508,"-"
9,"ENSP00000356746","1",169862613,169862797,"-"
10,"ENSP00000356746","1",169859041,169859212,"-"
11,"ENSP00000356746","1",169855796,169855957,"-"
12,"ENSP00000356746","1",169854270,169854964,"-"
13,"ENSP00000356746","1",169853713,169853772,"-"
14,"ENSP00000286031","1",169800906,169800971,"+"
15,"ENSP00000286031","1",169802621,169802725,"+"
16,"ENSP00000286031","1",169803169,169803309,"+"
17,"ENSP00000286031","1",169804075,169804240,"+"
18,"ENSP00000286031","1",169806004,169806088,"+"
19,"ENSP00000286031","1",169807791,169807929,"+"
20,"ENSP00000286031","1",169821679,169821759,"+"
21,"ENSP00000286031","1",169823408,169823472,"+"
22,"ENSP00000286031","1",169827051,169827199,"+"
23,"ENSP00000286031","1",169827711,169827840,"+"
24,"ENSP00000286031","1",169829263,169829449,"+"
25,"ENSP00000286031","1",169830259,169830341,"+"
26,"ENSP00000286031","1",169830696,169830747,"+"
27,"ENSP00000286031","1",169832417,169832506,"+"
28,"ENSP00000286031","1",169836927,169837112,"+"
29,"ENSP00000286031","1",169842417,169842539,"+"
30,"ENSP00000286031","1",169843674,169843769,"+"
31,"ENSP00000286031","1",169847690,169847803,"+"
32,"ENSP00000286031","1",169849500,169849604,"+"
33,"ENSP00000286031","1",169850265,169850345,"+"
34,"ENSP00000286031","1",169851817,169851936,"+"
35,"ENSP00000286031","1",169852790,169852987,"+"
