ENSG,HUGO,ENST,ENSP,CCDS,form
ENSG00000000457,SCYL3,ENST00000367772,ENSP00000356746,CCDS1287,PRINCIPAL:1
ENSG00000000460,C1orf112,ENST00000286031,ENSP00000286031,CCDS1285,PRINCIPAL:1
ENSG00000000938,FGR,ENST00000399173,ENSP00000382126,CCDS305,PRINCIPAL:1
ENSG00000000971,CFH,ENST00000367429,ENSP00000356399,CCDS1385,PRINCIPAL:1
ENSG00000001461,NIPAL3,ENST00000374399,ENSP00000363520,CCDS30631,PRINCIPAL:1
ENSG00000006555,TTC22,ENST00000371276,ENSP00000360323,CCDS44152,PRINCIPAL:1
ENSG00000007341,ST7L,ENST00000343210,ENSP00000345312,CCDS852,PRINCIPAL:1
ENSG00000007908,SELE,ENST00000333360,ENSP00000331736,CCDS1283,PRINCIPAL:1
ENSG00000007923,DNAJC11,ENST00000377577,ENSP00000366800,CCDS87,PRINCIPAL:1
ENSG00000007933,FMO3,ENST00000367755,ENSP00000356729,CCDS1292,PRINCIPAL:1
ENSG00000007968,E2F2,ENST00000361729,ENSP00000355249,CCDS236,PRINCIPAL:1
ENSG00000008118,CAMK1G,ENST00000009105,ENSP00000009105,CCDS1486,PRINCIPAL:1
ENSG00000009307,CSDE1,ENST00000534699,ENSP00000432958,CCDS30812,PRINCIPAL:1
ENSG00000009709,PAX7,ENST00000420770,ENSP00000403389,CCDS44074,PRINCIPAL:1
ENSG00000009724,MASP2,ENST00000400897,ENSP00000383690,CCDS123,PRINCIPAL:1
ENSG00000009790,TRAF3IP3,ENST00000367024,ENSP00000355991,CCDS1490,PRINCIPAL:1
ENSG00000010072,SPRTN,ENST00000295050,ENSP00000295050,CCDS1594,PRINCIPAL:1
ENSG00000010165,METTL13,ENST00000361735,ENSP00000354920,CCDS1299,PRINCIPAL:1
ENSG00000010803,SCMH1,ENST00000326197,ENSP00000318094,CCDS30688,PRINCIPAL:1
ENSG00000010932,FMO1,ENST00000617670,ENSP00000481732,CCDS1294,PRINCIPAL:1
ENSG00000011007,TCEB3,ENST00000609199,ENSP00000476781,-,PRINCIPAL:1
ENSG00000011009,LYPLA2,ENST00000374514,ENSP00000363638,CCDS241,PRINCIPAL:1
ENSG00000011021,CLCN6,ENST00000346436,ENSP00000234488,CCDS138,PRINCIPAL:1
ENSG00000016490,CLCA1,ENST00000394711,ENSP00000378200,CCDS709,PRINCIPAL:1
ENSG00000016602,CLCA4,ENST00000370563,ENSP00000359594,CCDS41355,PRINCIPAL:1
ENSG00000018625,ATP1A2,ENST00000361216,ENSP00000354490,CCDS1196,PRINCIPAL:1
ENSG00000020129,NCDN,ENST00000373243,ENSP00000362340,CCDS392,PRINCIPAL:1
ENSG00000021852,C8B,ENST00000371237,ENSP00000360281,CCDS30730,PRINCIPAL:1
ENSG00000023902,PLEKHO1,ENST00000369124,ENSP00000358120,CCDS945,PRINCIPAL:1
ENSG00000023909,GCLM,ENST00000370238,ENSP00000359258,CCDS746,PRINCIPAL:1
ENSG00000024526,DEPDC1,ENST00000370966,ENSP00000360005,CCDS644,PRINCIPAL:1
ENSG00000025800,KPNA6,ENST00000373625,ENSP00000362728,CCDS352,PRINCIPAL:1
ENSG00000027644,INSRR,ENST00000368195,ENSP00000357178,CCDS1160,PRINCIPAL:1
ENSG00000028137,TNFRSF1B,ENST00000376259,ENSP00000365435,CCDS145,PRINCIPAL:1
ENSG00000031698,SARS,ENST00000234677,ENSP00000234677,CCDS795,PRINCIPAL:1
ENSG00000034971,MYOC,ENST00000037502,ENSP00000037502,CCDS1297,PRINCIPAL:1
ENSG00000035687,ADSS,ENST00000366535,ENSP00000355493,CCDS1624,PRINCIPAL:1
ENSG00000036549,ZZZ3,ENST00000370801,ENSP00000359837,CCDS677,PRINCIPAL:1
ENSG00000037637,FBXO42,ENST00000375592,ENSP00000364742,CCDS30613,PRINCIPAL:1
ENSG00000040487,PQLC2,ENST00000375153,ENSP00000364295,CCDS195,PRINCIPAL:1
ENSG00000042781,USH2A,ENST00000307340,ENSP00000305941,CCDS31025,PRINCIPAL:1
ENSG00000043514,TRIT1,ENST00000316891,ENSP00000321810,CCDS30681,PRINCIPAL:1
ENSG00000044012,GUCA2B,ENST00000372581,ENSP00000361662,CCDS464,PRINCIPAL:1
ENSG00000047410,TPR,ENST00000367478,ENSP00000356448,CCDS41446,PRINCIPAL:1
ENSG00000049089,COL9A2,ENST00000372748,ENSP00000361834,CCDS450,PRINCIPAL:1
ENSG00000049239,H6PD,ENST00000377403,ENSP00000366620,CCDS101,PRINCIPAL:1
ENSG00000049245,VAMP3,ENST00000054666,ENSP00000054666,CCDS88,PRINCIPAL:1
ENSG00000049249,TNFRSF9,ENST00000377507,ENSP00000366729,CCDS92,PRINCIPAL:1
ENSG00000053371,AKR7A2,ENST00000235835,ENSP00000235835,CCDS194,PRINCIPAL:1
ENSG00000053372,MRTO4,ENST00000330263,ENSP00000364320,CCDS191,PRINCIPAL:1
ENSG00000054116,TRAPPC3,ENST00000373166,ENSP00000362261,CCDS404,PRINCIPAL:1
ENSG00000054118,THRAP3,ENST00000469141,ENSP00000433825,CCDS405,PRINCIPAL:1
ENSG00000054267,ARID4B,ENST00000264183,ENSP00000264183,CCDS31061,PRINCIPAL:1
ENSG00000054277,OPN3,ENST00000366554,ENSP00000355512,CCDS31072,PRINCIPAL:1
ENSG00000054282,SDCCAG8,ENST00000366541,ENSP00000355499,CCDS31075,PRINCIPAL:1
ENSG00000054392,HHAT,ENST00000413764,ENSP00000416845,CCDS1495,PRINCIPAL:1
ENSG00000054523,KIF1B,ENST00000263934,ENSP00000263934,CCDS111,PRINCIPAL:1
ENSG00000055732,MCOLN3,ENST00000370589,ENSP00000359621,CCDS701,PRINCIPAL:1
ENSG00000057252,SOAT1,ENST00000367619,ENSP00000356591,CCDS1330,PRINCIPAL:1
ENSG00000057468,MSH4,ENST00000263187,ENSP00000263187,CCDS670,PRINCIPAL:1
ENSG00000057757,PITHD1,ENST00000246151,ENSP00000246151,CCDS240,PRINCIPAL:1
ENSG00000058085,LAMC2,ENST00000264144,ENSP00000264144,CCDS1352,PRINCIPAL:1
ENSG00000058453,CROCC,ENST00000375541,ENSP00000364691,CCDS30616,PRINCIPAL:1
ENSG00000058668,ATP2B4,ENST00000357681,ENSP00000350310,CCDS1440,PRINCIPAL:1
ENSG00000058673,ZC3H11A,ENST00000332127,ENSP00000333253,CCDS30978,PRINCIPAL:1
ENSG00000058799,YIPF1,ENST00000072644,ENSP00000072644,CCDS584,PRINCIPAL:1
ENSG00000058804,NDC1,ENST00000371429,ENSP00000360483,CCDS583,PRINCIPAL:1
ENSG00000059588,TARBP1,ENST00000040877,ENSP00000040877,CCDS1601,PRINCIPAL:1
ENSG00000060642,PIGV,ENST00000078527,ENSP00000078527,CCDS287,PRINCIPAL:1
ENSG00000060656,PTPRU,ENST00000345512,ENSP00000334941,CCDS334,PRINCIPAL:1
ENSG00000060688,SNRNP40,ENST00000263694,ENSP00000263694,CCDS340,PRINCIPAL:1
ENSG00000064703,DDX20,ENST00000369702,ENSP00000358716,CCDS842,PRINCIPAL:1
ENSG00000065135,GNAI3,ENST00000369851,ENSP00000358867,CCDS802,PRINCIPAL:1
ENSG00000065183,WDR3,ENST00000349139,ENSP00000308179,CCDS898,PRINCIPAL:1
ENSG00000065243,PKN2,ENST00000370521,ENSP00000359552,CCDS714,PRINCIPAL:1
ENSG00000065526,SPEN,ENST00000375759,ENSP00000364912,CCDS164,PRINCIPAL:1
ENSG00000065600,TMEM206,ENST00000261455,ENSP00000261455,CCDS1504,PRINCIPAL:1
ENSG00000065978,YBX1,ENST00000321358,ENSP00000361626,CCDS470,PRINCIPAL:1
ENSG00000066027,PPP2R5A,ENST00000261461,ENSP00000261461,CCDS1503,PRINCIPAL:1
ENSG00000066056,TIE1,ENST00000372476,ENSP00000361554,CCDS482,PRINCIPAL:1
ENSG00000066135,KDM4A,ENST00000372396,ENSP00000361473,CCDS491,PRINCIPAL:1
ENSG00000066185,ZMYND12,ENST00000372565,ENSP00000361646,CCDS467,PRINCIPAL:1
ENSG00000066279,ASPM,ENST00000367409,ENSP00000356379,CCDS1389,PRINCIPAL:1
ENSG00000066322,ELOVL1,ENST00000621943,ENSP00000477602,CCDS485,PRINCIPAL:1
ENSG00000066557,LRRC40,ENST00000370952,ENSP00000359990,CCDS646,PRINCIPAL:1
ENSG00000067334,DNTTIP2,ENST00000436063,ENSP00000411010,CCDS44174,PRINCIPAL:1
ENSG00000067533,RRP15,ENST00000366932,ENSP00000355899,CCDS1520,PRINCIPAL:1
ENSG00000067606,PRKCZ,ENST00000378567,ENSP00000367830,CCDS37,PRINCIPAL:1
ENSG00000067704,IARS2,ENST00000366922,ENSP00000355889,CCDS1523,PRINCIPAL:1
ENSG00000069248,NUP133,ENST00000261396,ENSP00000261396,CCDS1579,PRINCIPAL:1
ENSG00000069275,NUCKS1,ENST00000367142,ENSP00000356110,CCDS30987,PRINCIPAL:1
ENSG00000069712,KIAA1107,ENST00000636278,ENSP00000489882,CCDS44172,PRINCIPAL:1
ENSG00000069812,HES2,ENST00000377834,ENSP00000367065,CCDS30574,PRINCIPAL:1
ENSG00000070759,TESK2,ENST00000372086,ENSP00000361158,CCDS41323,PRINCIPAL:1
ENSG00000070785,EIF2B3,ENST00000360403,ENSP00000353575,CCDS517,PRINCIPAL:1
ENSG00000070886,EPHA8,ENST00000166244,ENSP00000166244,CCDS225,PRINCIPAL:1
ENSG00000073754,CD5L,ENST00000368174,ENSP00000357156,CCDS1171,PRINCIPAL:1
ENSG00000073756,PTGS2,ENST00000367468,ENSP00000356438,CCDS1371,PRINCIPAL:1
ENSG00000074800,ENO1,ENST00000234590,ENSP00000234590,CCDS97,PRINCIPAL:1
ENSG00000075945,KIFAP3,ENST00000361580,ENSP00000354560,CCDS1288,PRINCIPAL:1
ENSG00000076258,FMO4,ENST00000367749,ENSP00000356723,CCDS1295,PRINCIPAL:1
ENSG00000076321,KLHL20,ENST00000209884,ENSP00000209884,CCDS1310,PRINCIPAL:1
ENSG00000076356,PLXNA2,ENST00000367033,ENSP00000356000,CCDS31013,PRINCIPAL:1
ENSG00000077152,UBE2T,ENST00000367274,ENSP00000356243,CCDS1425,PRINCIPAL:1
ENSG00000077157,PPP1R12B,ENST00000608999,ENSP00000476755,CCDS1426,PRINCIPAL:1
ENSG00000077254,USP33,ENST00000370794,ENSP00000359830,CCDS679,PRINCIPAL:1
ENSG00000077585,GPR137B,ENST00000366592,ENSP00000355551,CCDS1609,PRINCIPAL:1
ENSG00000078369,GNB1,ENST00000378609,ENSP00000367872,CCDS34,PRINCIPAL:1
ENSG00000078900,TP73,ENST00000378295,ENSP00000367545,CCDS49,PRINCIPAL:1
ENSG00000079739,PGM1,ENST00000371084,ENSP00000360125,CCDS625,PRINCIPAL:1
ENSG00000081019,RSBN1,ENST00000261441,ENSP00000261441,CCDS862,PRINCIPAL:1
ENSG00000081026,MAGI3,ENST00000369611,ENSP00000358624,CCDS860,PRINCIPAL:1
ENSG00000081277,PKP1,ENST00000367324,ENSP00000356293,CCDS30967,PRINCIPAL:1
ENSG00000081692,JMJD4,ENST00000620518,ENSP00000477669,-,PRINCIPAL:1
ENSG00000081721,DUSP12,ENST00000367943,ENSP00000356920,CCDS1234,PRINCIPAL:1
ENSG00000081870,HSPB11,ENST00000194214,ENSP00000194214,CCDS41341,PRINCIPAL:1
ENSG00000081985,IL12RB2,ENST00000262345,ENSP00000262345,CCDS638,PRINCIPAL:1
ENSG00000082497,SERTAD4,ENST00000367012,ENSP00000355979,CCDS1494,PRINCIPAL:1
ENSG00000082512,TRAF5,ENST00000261464,ENSP00000261464,CCDS1497,PRINCIPAL:1
ENSG00000083444,PLOD1,ENST00000196061,ENSP00000196061,CCDS142,PRINCIPAL:1
ENSG00000084070,SMAP2,ENST00000372718,ENSP00000361803,CCDS451,PRINCIPAL:1
ENSG00000084072,PPIE,ENST00000324379,ENSP00000312769,CCDS443,PRINCIPAL:1
ENSG00000084073,ZMPSTE24,ENST00000372759,ENSP00000361845,CCDS449,PRINCIPAL:1
ENSG00000084623,EIF3I,ENST00000373586,ENSP00000362688,CCDS357,PRINCIPAL:1
ENSG00000084628,NKAIN1,ENST00000373736,ENSP00000362841,CCDS339,PRINCIPAL:1
ENSG00000084636,COL16A1,ENST00000373672,ENSP00000362776,CCDS41297,PRINCIPAL:1
ENSG00000084652,TXLNA,ENST00000373609,ENSP00000362711,CCDS353,PRINCIPAL:1
ENSG00000085465,OVGP1,ENST00000369732,ENSP00000358747,CCDS834,PRINCIPAL:1
ENSG00000085491,SLC25A24,ENST00000565488,ENSP00000457733,CCDS41361,PRINCIPAL:1
